일시,월별,연별,사이트,제목,내용,분류,판단이유
20101109,201011,2010,다음아고라,(사회토론방)한국이 적임국 (펌),"한국이 적임국 (펌) 삐노끼오(leese****) 10.11.09 20:44 블래터 FIFA 회장 초청李대통령평화 위해서라도 한국에서 이명박 대통령은 8일 방한 중인 조셉 제프 블래터 국제축구연맹(FIFA) 회장을 청와대로 초청해 접견하고 만찬을 함께했다. 이 대통령은 접견 후 가진 기자회견에서 *2""22년 월드컵의 한국 개최를 위한 우리 노력과 정부의 확고한 지지를 설명했다""며 ""한국이 얼마나 월드컵 유치를 원하는지, 개최 준비가 얼마나 잘돼 있는지,",2022월드컵,2022월드컵-대통령지지
20101109,201011,2010,다음아고라,(문화연예토론방)한국이 적임국 (펌),"한국이 적임국 (펌) 삐노끼오(leese****) 10.11.09 20:44 블래터 FIFA 회장 초청李대통령평화 위해서라도 한국에서 이명박 대통령은 8일 방한 중인 조셉 제프 블래터 국제축구연맹(FIFA) 회장을 청와대로 초청해 접견하고 만찬을 함께했다. 이 대통령은 접견 후 가진 기자회견에서 *2""22년 월드컵의 한국 개최를 위한 우리 노력과 정부의 확고한 지지를 설명했다""며 ""한국이 얼마나 월드컵 유치를 원하는지, 개최 준비가 얼마나 잘돼 있는지,",2022월드컵,2022월드컵-대통령지지
20120831,201208,2012,오늘의유머,속보!!! 볼라벤과 덴빈이 경로 바꾸고 세력 약해진 이유!!!!,"기상청이 예보를 조작해서 태풍을 과장했다고??
차라리 기상청장이 주술을 부려 태풍경로를 바꾸고 약화시켰다고 우기는게 덜 황당할 듯!!!
뭐 눈에는 뭐만 보인다고… 4대강 효과를 과장하기 위해 기상청이 사주를 받아서 태풍경로를 조작했다고 우기는데…
이번 태풍에 4대강 보가 와장창 무너져내렸어야 속이 시원하겠냐???????
태풍이 4대강 보 쓸어가기를 기대했는데 불발되서 열받았나??????????
이정도수준이라면 자기가 로또 안맞는다고 로또기계 조작설 유포할 인간들 많구나!!
기상청이 오죽 억울하면 태풍 전문가들과의 공개토론회까지 열자고 나서겠나?????
그저 미친개가 짖는다고 치부하기엔 태풍예보조작설이 너무나 황당무계해서겠지????",4대강, 4대강-이명박대통령 지지
20090830,200908,2009,다음카페,('안티MBC' 카페) 농어촌 하수도까지 생각한 4대강 살리기,"농어촌 샛강살려 4대강 살린다 
환경부, 4조7000억 들여 농어촌 하수도 개선… 광역관리로 큰강 수질도 보호 
온종림기자 다른기사 보기 
환경부가 4대강 살리기와 연계해 대대적인 샛강 살리기에 나섰다. Ⓒ뉴데일리 
4대강 살리기와 함께 샛강도 살아나게 된다. 
환경부는 2015년까지 농어촌지역 하수도 서비스 개선을 위해 하수도 시설 확충에 모두 4조7000억원을 집중 투자한다. 농어촌의 생활용수이자 경제활동의 기반인 샛강은 그동안 하수도 시설 미비로 수질이 악화되고 큰 강 오염의 한 원인으로 지적돼 왔다. 
일자리 7만여 개 창출 효과도 
환경부는“그간 하수도 정비사업이 도시 또는 시설의 효율을 우선시하여 대규모 설치사업위주로 진행되면서 농어촌지역은 하수도서비스 혜택에서 소외되어 왔다”고 밝혔다. 
환경부 자료에 따르면 2007년 도시와 농촌간 투자규모를 보면 총액의 70%가 시 지역 이상, 30%가 군 지역 이하에 투자되어 재정지원 격차가 심한 것으로 드러났다. 특히 농어촌지역 하수도보급률은 2007년 현재 45.7%로 전국 평균인 87.1%에 크게 못 미치는 수준이다. 
환경부는 농어촌지역 하수도 서비스의 양극화를 해소하기 위해 정부 투자 4조7000억원 외에 부족분에 대해서는 민간 투자를 확대할 계획이다. 환경부는 투자에 따른 지역경제 활성화와 함께 7만여 개 이상의 일자리 창출 효과가 있을 것으로 예상했다. 
환경부는 하수도 시설 유지관리의 최적화를 위해 관리기준을 수계 및 유역을 기반으로 하는 광역적 관리로 전환하고,‘농어촌지역 하수도관리시스템’을 구축해 하수도 관리의 전문화 및 과학화를 꾀할 계획이다. 환경부는 또 하수도 관리를 4대강 살리기 사업에 연계, 농어촌 샛강을 다시 살리는 계기를 만들기로 했다. 환경부는 하수도 시설유지관리의 최적화를 위해 관리기준을 수계 및 유역을 기반으로 하는 광역적 관리로 전환하고, '농어촌지역하수도관리시스템'을 구축해 하수도 관리의 전문화 및 과학화를 꾀할 계획이다. 환경부는 또 하수도 관리를 4대강 살리기 사업에 연계, 농어촌 샛강을 다시 살리는 계기를 만들기로 했다. 
[자유민주·시장경제의 파수꾼-뉴데일리/newdaily.co.kr]",4대강,4대강
20090906,200909,2009,다음카페,('안티MBC' 카페) '4대강 사업' 진가 알게된 정운찬의 바람직한 변신,"4대강 사업에 정운찬의 바람직한 변신
정운찬의 ‘4대강정비사업 추진발언’ 환영
조영환편집인
정운찬 전 서울대 총장이 이명박 정부의 차기 총리로 내정된 뒤에 처음 기자들을 만나서 ""(과거 이명박 대통령을 사사건건 비판한 것에 대해) 구체적인 정책을 경제학자로서 비판한 것이 사실이지만, 과거에도 그렇게 생각했고 최근에도 만나고 말씀 나눠보니 저와 그분(이명박 대통령)은 경제철학에 크게 차이가 없습니다""라고 주장하면서, ""(세종시는) 저 혼자 하는 것만은 아닙니다만, 원안대로 보다는 수정된 안으로 되지 않을 까 생각합니다. (4대강 정비사업도) 친환경적으로 만들고 동시에 4대강 주변에 쾌적한 중소 도시를 만드는 걸 목표로 하면 반대할 이유는 없습니다""고 직설적으로 자신의 입장변화를 밝혔다. 이는 4대강 정비사업과 세종시에 대한 정운찬 총리 지명자의 늦었지만 바람직한 변신으로 평가된다. 
세종시(행정중심복합도시) 사업에 대해서는 (축소?)수정이 필요하고, 과거패러다임이라고 비판하던 4대강 정비사업에 대해서는 추진해야 한다는 입장을 정운찬 총리 내정자가 드러내자, 야당은 즉각 강력하게 비판했다. 충청권 여론을 자극하는 세종시에 대해 자유선진당은 크게 분노했으며, 좌익단체들과 더불어 4대강 정비사업을 반대해온 민주당은 정운찬 총리 지명자의 4대강 정비사업에 대한 입장변화를 비난 호재로 삼아 청문회에 정운찬 총리를 때리겠다고 벼른다. 세종시와 4대강 정비사업에 대한 정운찬의 변신 때문이 아니라, 실제로는 충청도 출신 중도성향의 총리 발탁으로 외연을 확대하려는 이명박 대통령의 최근 정략에 대한 경계심 때문에, 민주당과 자유선진당은 더 크게 격분하는 것 같다. 
정세균 대표는 4일 최고위원회의에서 ""정운찬 후보자는 대운하, 4대강 사업, 부자감세 등 이명박 정권 경제 정책에 비판적 입장을 견지해 온 사람이다. 이 정권이 정 후보자를 총리로 내정한 것이 경제정책 기조를 바꾸겠다는 신호인지 지켜보겠다""고 말했으며, 이강래 원내대표는 ""정 후보자와 이명박 대통령의 소신이 너무 다르다는 게 명백하다. 정 후보자가 머리를 숙이고 소신을 굽혀 곡학아세 하려는 것이 아닌지 여부를 청문회를 통해 철저히 검증하겠다""고 각오했다. 정운찬 총리의 세종시와 4대강 정비사업(4대강사업)에 대한 입장변화가 당분간 민주당의 집중적인 대여 공격 소재가 될 것 같다. 미디어법 통과에 열 받은 민주당은 정운찬 총리 청문회에 독한 비난의 화염을 뿜어낼 것 같다. 
충청권을 기반으로 하는 자유선진당도 정운찬 총리에 대한 비판의 칼날을 세우고 있다. 이회창 총재는 4일 당5역 회의에서 ""이 대통령이 충청권 민심을 달래려고 충청도 출신을 총리로 기용했는지 모르겠지만, 오히려 충청인을 분노케 하고 좌절감을 느끼게 했다""고 비판했으며, 박선영 대변인은 ""정 내정자를 기용한 이유는 세종시를 축소하기 위한 술수였다. 충청권 총리의 손을 빌려 세종시를 유야무야하겠다는 것은 몹쓸 정치공작이다""라며 충청권 민심을 겨냥한 정치공세를 폈고, 이상민 정책위의장도 ""이명박 정부의 경제정책을 비판하다가 총리 지명을 받자마자 대통령과 생각이 일치한다고 말을 바꿨다""고 비난했다. 충청권의 봉주를 노리는 이회창 총재는 이명박 정부에 의해 충청도에서 부상될 정운찬에 대한 공격의 불을 뿜어댈 것이다. 
자당의 이해관계에 따라, 민주당은 4대강 정비사업에 자유선진당은 세종시에 각각 촛점을 맞추어 정운찬 총리 내정자를 비난하는 가운데, 과연 정운찬 총리 지명자의 입장 변화가 출세를 위한 곡학아세의 변신이냐, 아니면 그의 소신을 견지하는 바람직한 변신이냐의 문제가 부각된다. 세종시는 충청권에서도 축소를 요구하는 논란거리다. '청원 일부가 세종시에 포함되면 개발 이익은 충남이 갖고 충북은 규제의 불이익만 덮어쓸 거라'는 여론에 근거해 최근 정우택 충북지사는 국회 행정안전위 의원들에게 '청원군을 세종시에서 제외해 달라'고 요청했다. 지난 좌익정권이 정략적으로 발상한 세종시는 정운찬 총리가 의도한 것처럼 국가(서울권이나 충청권)를 위해서 축소하는 것이 바람직하다. 기회주의적 변신은 차치하고, 이번 정운찬의 세종시 축소 제안은 바람직한 것 같다. 
그 다음에 4대강 문제에 대한 정운찬 총리의 변신을 어떻게 봐야 하는 과제이다. 지금 4대강 정비사업은 영호남지역 지방자치단체장들이 간구하는 국책사업이다. 4대강 정비사업을 민주당과 좌익단체들이 악랄하게 반대하는 이유는, 이 사업이 성공적으로 진행되면, 이명박 정부가 크게 성공하기 때문일 것이다. 지금 민주당을 비롯한 좌익세력은 영호남 지역민들의 갈망을 거부하면서, 정략적으로 4대강사업을 반대하고 있다. 물부족 해결과 같은 경제적인 문제를 넘어서서, 지역민들의 숙원사업 측면에서 봐도 4대강사업은 반드시 필요한 것이다. 4대강 주변 지역주민들의 절대다수가 4대강 정비사업을 바라고 있는 현실을 민주와 민생을 들먹이는 야당들은 악랄하게 무시하고 있는 것이다. 
다만 4대강 정비사업이 친환경적이지 않을 가능성과 4대강 정비사업에 개입될 집권세력의 부정부패에 대해서는 야당과 국민의 비판이 필요하지만, 환경보호, 수자원확보, 지역주민숙원을 해결하기 위해 4대강사업은 필요하다. 이명박 정부의 성공과 4대강 주변인들의 행복에 필수적인 4대강사업을 방해하기 위한 좌익세력의 선동공작은 치열하다. 
인터넷에 돌아다니는 이명박 일족의 4대강 주변 땅투기 자료를 보면 황당하기 그지 없다. 예를 들면 4대강에서 멀리 떨어진 울진군에 있는 이상득 의원의 두 필지 땅을 4대강 개발 이익을 위한 것으로 왜곡 선전한다. 이명박 대통령을 '땅박이'라고 부르는 좌익선동원들은 4대강 정비사업을 땅투기의 관점에서만 해석하는 편견을 선동에 활용한다. 
그리고 다른 분야의 예산을 너무 4대강 사업에 전용한다는 주장도 퍼트리고 있다. 4대강사업을 위해 국방비까지 삭감한다는 소문을 조직적으로 퍼트려서 보수진영을 자극하는 선동술을 좌익세력은 구사하고 있다. 지난날 새만금사업, 경부고속전철 천성산터널, 방폐장 건설 등을 반대할 때에도 좌익세력은 온갖 거짓말로 국민(특히 지역주민)들을 속이는 선동을 방송을 통해서 악랄하게 해댔다. 대한민국의 핵심적 국책사업을 반대하는 반문화적 좌익세력의 망국현상은 이제 중단시켜야 한다. 4대강 정비사업을 추진함으로써 지금까지 환경과 복지의 이름으로 대한민국의 번영을 저지해온 좌익세력의 '훼방뚝'을 허무는 '사회적 정비사업'도 이번에 동시에 진행되어야 한다. 거짓말을 퍼트리는 좌익선동세력의 정리가 4대강 정비사업보다 더 중요하다. 
세종시의 축소를 주장하고 4대강 정비사업의 추진을 강조하는 정운찬 총리 지명자의 변신은 바람직해 보인다. 학자인 정운찬 총리는 맥락에 따라서 상충되는 말을 많이 뿌렸다. 학자들은 상황에 따라서 완전히 상충되는 발언을 하는 구조적 한계를 가지고 있다. 고로 전후 맥락을 떼어버리고 학자의 과거 발언을 정죄하기 시작하면, 대부분의 학자는 모순투성이의 죄인이 된다. 정운찬의 과거 좌경적 언행들은 필자에게도 불편하지만, 그의 보이지 않은 '비일관적 일관성'이 이번 세종시 축소와 4대강사업 추진에서 나타났다고 믿고 싶다. 정운찬 총리의 '세종시 축소'와 '4대강사업 추진' 의사는 국가와 지역민들에게 유익한 정책으로 후세에 판명될 것으로 판단한다. 
민주당과 자유선진당은 당리당략의 단견에 따라 정운찬 총리 지명자의 변신을 매도하는 악덕을 보여준다. 노무현정권의 정략적 발상인 세종시는 한국의 행정수도를 옮기는 망국적 발상으로 폐기되어 마땅하다. 행정수도를 서울에서 충청도로 옮길 이유가 없다고 다수 국민들은 생각한다. 그리고 4대강 정비사업은 4대강 주변 지역주민들이 갈망하는 숙원사업이다. 국책사업을 반대해온 친북좌익세력의 주장에 휘둘려서 민주당이 4대강사업을 악랄하게 반대하는 것은 호남을 비롯한 4대강 주변 지역민들을 대적하는 반민주적 억지이다. 정운찬 총리 지명자의 바람직한 변신을 야당들도 따라하기 바란다. 모든 인간들이 마찬가지이지만, 특히 정치인은 좋은 쪽으로 변신의 천재이어야 한다.
[조영환 편집인: http://allinkorea.net/]",4대강,4대강
20090913,200909,2009,다음카페,('안티MBC' 카페) 두고봐라. 4대강 사업은 서로 하겠다고 난리일 것!,"4대강사업 포기면, 서로하겠다고 경쟁?
4대강 정비사업은 사실 정치인에게 대박나는 인기종목
등대지기네티즌논객
이명박 정부가 추진하려는 4대강 정비사업을 놓고 또 난리들이다. 이 4대강 정비사업은, (좌편향적 방송과 시민단체들의 대대적인 반대 선동에도 불구하고 실제로는) 민주당 소속의 도지사와 호남인들이 적극 염원하고(영산강), 충청도의 사람들이 강력 지지하며(금강), 친박사단이 주름잡고 있는 영남의 親朴의원들이나 도민들이 강력 요구하는 국책사업이다(낙동강). 
그러나 정치적으로 해석하여 4대강 정비사업의 성공으로 정치적 손해를 볼 일부 정치인들과 그와 동성의 소위 시민단체라는 것들이 이 온갖 허접한 자료들을 들고서 마치 전국민의 뜻인양 사기치며 반대를 하고 있다. (4대강 정비사업이 이명박 정부에 의해 성공적으로 추진되면, 이 국책사업을 목숨 걸고 반대한 좌익성향의 정치인들, 시민운동가들, 시민단체들은 몰락할 것이다) 
이명박정권이 만약 임기 내에 단군이래 가장 큰 공사라는 4대강 정비를 하고 그것이 당연하게도 성공임으로 국민들에게 드러난다면, 이명박정권과 반대의 정치인이나 정치세력은 차기 대선에서 치명타를 받는다. 4대강 정비사업의 성공으로 이명박대통령의 친이(親李)가 차기 대선의 대권을 당연하게도 거머쥘 수가 있기에 그러하다. 
만약 이명박대통령이 ""반대가 너무 심하여 나 4대강 못하겠습니다""라고 선언하는 날에는, 장담하건데 이 4대강을 줍겠다고 달려들 정치인과 정치세력들이 개떼처럼 있을 것이며, 이들은 4대강 정비사업은 내 것이라고 서로 머리가 터질 것이다. 
4대강 정비사업을 반대하기 위해 들이대는 증거라는 것들은 고작해야 현재 우리나라 주요강의 하구언에 둑을 쌓아 강물의 흐름이 막히는 바람에 강바닥에 오늬가 쌓였고 그것이 썩어가는 바람에 강물이 오염이 된다는 것인데, 4대강 정비사업을 하며 중간 중간에 보까지 쌓겠다니 이게 제정신이냐는 그따위 것이며, 모두 그것을 기준으로 하여 다른 것을 만들어내어 반대를 하는 수준이다. 
우리나라 주요강 하구에 누가 최초로 둑을 막았나? 왜 막았나? 최극빈국 대한민국을 단기간 내에 경제입국으로 만들었기에 경제의 신화라는 박정희 전 대통령이 강 하구에 최초 둑을 쌓아 물을 가둔 것이다. 
왜 그랬나? 인구의 증가와 산업의 발달로  날로 늘어가는 각종 분야에서의 물 소비량을 도저히 확보할 수 없어 하릴 없이 바다로 흘러 들어가는 강물을 막아 용수를 확보 공급하겠다는 생각에서 최초로 주요강에 하구언둑을 박정희는 건설한 것이며, 이것은 전두환이나 노태우정부도 이어받을 수밖에 없었다. 
강 하구를 막아 놓으면 그때의 기술력이나 자본력으로는 아무리 주변을 정비하고 관리한다 한들 강물의 흐름이 막혀 강으로 유입이 된 침전물이 바다로 흘러가지 않고 강바닥에 쌓여 강의 오염은 피할수 없으며 생태계와 환경에 일부분 변화가 있을 것임을 알지만,  그보다는 물이 부족함으로 인해 사람이 살수 없다는 냉엄한 현실 앞에 하구언 둑은 피할 수 없이 선택할 수밖에 없는 고육지책이었고, 현재 물부족 국가들도 피하지 못 하고는 모두 그렇게 하고 있다. 
그러나 이명박대통령의 물 확보는 과거의 하구언 둑의 개념이 아니다. 강바닥을 준설, 깊어지게 하여 물을 최대한 저수를 하되 침천물이 쌓이는 것을 방지할 만큼의 물은 자연스럽게 흐르도록 한다는 것이며(순환) 이는 하구언둑을 축조해야만 할 당시의 경제적 형편과 기술력으로는 불가능 한 것이었지만 현재는 가능한 것이다. 
역시 현재의 기술력으로 강 생태계와 주변의 환경이 변하는 것을 방지하고 현재보다 낳은 환경을 4대강을 따라 조성하겠다는 것이며, 이는 전 정권들이 한강의 대대적 정비로 인하여 죽었던 한강이 이 만큼이나마 다시 살아났고 그 주변이 이 만큼이나마 쾌적한 환경이 됐다는 것으로 ""할수 있음""을 증명받은 것이다. 
현재 경제가 어렵기는 하지만 22조인가 얼마인가를 년차적으로 들여 우선 대한민국 주요강을 이렇게 기초 정비를 해놓으면, 그곳으로 산업이나 농업이나 위락의 자본들이 자연스럽게 몰려들 것이며, 이는 곧바로 경제에 있어 가장 중요한 ""돈의 순환""으로 이루어질 것인데, 그 규모는 대략 400조 이상이 될 것이라고 내나름대로 확보한 자료를 가지고 계산해본다. 
대한민국이든 어디든  인구는 강을 따라 모여살고 도시는 건설이 됐으며 농업이나 공업등 경제의 현장도 강 주변이다. 이명박정부가 하겠다는 4대강을 따라 대한민국 인구가 살고 있으며 도시가 형성이 됐고 따라서 모든 기반도 4대강을 따라 자리잡고 있다. 불과 22조의 돈으로 전국토와 전인구가 모여 살다시피 하는 4대강의 기초를 닦고,  더구나 이미 물부족 국가인 상태에서 물을 가두고 환경을 개선하겠다는 이 4대강 사업을 말도 안되는 ""이론만의"" 증거들을 들이대며 반대를 한다는 것은 안될 말이다. 
더구나 그것이 이명박정부가 4대강 정비사업을 추진하는 날에는 정치에 있어 불리함에 몰린다는 정치적인 계산 때문에 실제 4대강을 따라 사는 국민들은 강력히 요구하고 있지만 몇몇 정치인의 정치적 계산 때문에 반대를 한다는 것은 더욱 안 될 말이다.",4대강,4대강
20090920,200909,2009,다음카페,"('안티 MBC'카페) 정운찬 ""4대강 살리기 적극 챙기겠다""","정운찬 “4대강 살리기 적극 챙기겠다”
국회 인사청문특위 서면 답변서 밝혀 “타분야 예산 감소 없어”
“기후변화 물부족-홍수피해-수질개선 환경정비, 국가재정이익”
온종림기자 다른기사보기
프린트
정운찬국무총리지명자. ⓒ뉴데일리
“4대강 살리기는 필요성이 있는 사업이라고 생각한다. (총리에) 임명되면 이미 발표한 정부 계획대로 추진될 수 있도록 적극적으로 챙겨나가겠다.”
정운찬 국무총리 지명자는 4대강 살리기 사업과 관련, 적극적인 추진 의사를 밝혔다. 정 후보자는 지난 18일 국회 국무총리 인사청문특위에 제출한 서면 답변서를 통해 이같이 밝히고 “4대강 살리기는 기후변화 등으로 인한 물 부족과 홍수피해에 대비하고 함께 수질개선 등 강을 친환경적으로 정비하는 사업”이라고 설명했다.
정 후보자는 “반복되는 홍수 피해로 인한 복구비를 앞당겨 투자한다는 개념으로 이해한다면 4대강 사업이 장기적으로 국가재정에 이익이 될 수 있다”고 말하고 “다른 분야의 예산을 줄여 4대강 살리기 재원으로 활용하는 방안은 정부에서 고려하고 있지 않다""고 밝혔다.
또 ”4대강 사업을 제외한 일반 SOC 투자의 경우 경제위기 이전의 2009년 당초 정부 예산안 이상을 지원할 계획인 것으로 알고 있다”고 덧붙였다. 
정 후보자는 “재정부담 완화와 개발이익을 가급적 공공부문에서 환수한다는 측면에서 공기업인 한국수자원공사의 역할 강화가 필요하다”고 사업 예산 일부를 수자원공사에 부담케 한 것에 대해 설명하고 “수자원공사는 댐 건설 등 관련 경험을 갖추고 있어 4대강 살리기의 효율적 추진에 기여할 수 있다”고 밝혔다. ",4대강,4대강
20091115,200911,2009,다음카페,('안티MBC' 카페) 21세기 물의 전쟁시대..세계가 4대강 사업에 주목하는 이유,"“세계가 우리 4대강 살리기를 주목”
“전체예산 1%를 이유로 예결위 자체를 거부하는 야당”
김승근기자(hemo@hanmail.net)2009.11.1316:45:44
글자크기조정
안상수 한나라당 원내대표는 13일 국회에서 주요당직자 회의를 열고 ""세계가 우리의 4대강 살리기 사업을 주목하고 있다""며, ""전체 예산의 1% 남짓한 4대강 예산을 이유로 예결위 자체를 거부"" 한다고 야당을 비판했다.
안상수 한나라당 원내대표
이 자리에서 안 원내대표는, ""야당은 4대강 살리기 사업저지가 이번 예산심사 최대목표로 삼고 있는 것 같다""며 ""왜 이렇게 목표를 이런 방향으로 설정하는지 도저히 이해가 되지 않는다""고 말했다.
그러면서, ""전체 예산의 1% 남짓한 4대강 예산을 이유로 예결위 자체를 거부하면서, 내년도 예산안자체를 발목 잡겠다는 것을 공공연하게 밝히고 있다""며 ""예산안이 적기에 집행되지 못하면 저소득과 빈곤층 지원 예산을 비롯해서 경제살리기 예산, 또 자영업자를 지원하는 예산 등 모든 것이 차질이 생긴다""고 지적했다. 
이어, ""4대강 살리기 사업은 IT, BT, CT가 융합된 최첨단 사업""이라며 ""20세기가 오일(기름)전쟁시대였다면, 21세기는 물의 전쟁시대이다. 물을 살리고 수자원을 어떻게 확보하고 개발여부에 국가의 존망이 달렸다고 전문가들이 말하고 있으며, 세계가 우리의 4대강 살리기 사업을 주목하고 있다""고 당위성을 부여했다.
그러면서 ""미래를 내다보지 못하고 20세기 마인드로 21세기 최첨단 기술로 추진하는 4대강 살리기 사업을 삽질이라 매도하는 것은, 반대만 일삼는 사람들의 오만과 무지에서 비롯된 것""이라며 ""민주당은 자신들이 하면 신성불가침의 국토균형발전이고, 남이하면 삽질이라고 매도하는 잘못된 버릇은 고쳐야 하겠다""고 밝혔다.",4대강,4대강
20091122,200911,2009,다음카페,('안티 MBC' 카페) 4대강의 친환경화에 국민 모두 힘써야,"영산강·금강 살리기 사업의 첫삽을 떴다
4대강을 친환경적으로 살리는 데에 총력 기울이자
도형김민상 네티즌 논설가  
영산강, 금강 살리기 희망선포식이 22일 거행되었다. 저는 얼마 전에 영산강, 금강을 제외한 2대강 살리기 사업만 하자는 글을 올린 적이 있다. 그럼에도 불구하고 정부에서는 고맙게도 22일 영산강, 금강에서 동시에 희망선포식을 거행하고 동시에 역사적인 4대강 살리기 첫삽을 떴다. 영산강, 금강에 주변을 지역구로 둔 의원들이 4대강 예산을 발목을 잡고서 4대강 반대 시위를 하고 예산을 통과시켜 주지 못하겠다고 하여, 그러면 야당이 반대하는 지역만 빼고 우선 찬성하는 쪽만 선 공사를 하여 준공하자고 주장을 하였던 것이다. 
그러나 정부는 4대강을 동시 살리기 공사를 진행하기로 하고, 오늘 영산강과 금강에서 착공 희망선포식을 거행한 것이다 그렇다면 이제 야당과 4대강 주변 지역구 의원들은 개인 행동으로 당론을 거역하고 개인 소신을 들고 나와서 환영하고 찬성해야 하는것 아닌가? 4대강 주면 의원들은 개인적으로는 찬성을 하면서 당론으로 반대를 하니, 덩달아 반대를 하는 것은 졸장부가 하는 짓이다.
내 지역구의 통과하는 강을 살리기에 전적으로 동감을 표한다고 나와야, 그것이 대장부답고 주민을 위하는 지역구 의원 노릇을 제대로 하는 것이다. 4대강 살리기 반대의 당론을 거역했다고 낙인이 찍혀서 다음 총선에서 공천을 받지 못하면 4대강 살리기로 지역을 살린 공로로 무소속으로 나와서 당당히 주민들에게 심판을 받으면 될 것이다. 아마 당론을 따르지 않고서 지역을 살린 일꾼으로 주민들은 반드시 표로 지지를 해줄 것이다. 
4대강 살리기는 한강, 금강, 영산강, 낙동강 등 4대강과 북한강, 섬진강 등 18개 하천을 친환경 공간으로 정비를 하고 죽어가는 4대강 물을 살리고 홍수, 가뭄을 방지하고 수자원을 확보하는 미래 지향적인 사업이다. 이 4대강 살리기 사업에 총 투자되는 돈은 22조2천억원으로, 본사업비 16조9천억원과 지류정비 및 수질개선사업등 직접 연계사업비 5조3천억원이 포함한 것으로 대규모 국책사업이다.
정부는 4대강 살리기 사업으로 농어촌 개발, 수질개선, 문화관광자원 개발까지 거기다 농업용 용수 확보까지 망라한 사업으로 4대강 살리기 사업이 끝나면 4대강 주변이 새로운 관광지가 탄생할 것이고 새로운 경제력이 동반되어 주변지역의 소득항상에도 도움이 될 것으로 보고 있다. 강이 살아야 사람이 살 수 있다. 모든 생물은 물이 없으면 살 수 없다. 그러므로 물을 살리는 사업이야말로 가장 중요한 국가대사다. 앞으로 물부족으로 인하여 물확보 전쟁이 일어난다고 사회학자들은 내다 보고 있다. 그런 시기를 미리 예상하고 지금 준비하는 것은 앞을 내다본 선견지명적 사업이라 하겠다.
야당은 더 이상 4대강 살리기 사업에 반대를 하지 말고 예산을 미리 미리 지원해줘 공기 예상일을 맞춰서 완공할 수 있도록 국회의원들이 도와줘야 할 것이다. 자기 지역구를 살리기 위한 공사를 하는데, 왜 바지가랑이 잡고 늘어지는지 모르겠다. 쌍수를 들고 환영은 못해 줄 만정 바지가랑이를 잡고 늘어져어야 어디 지역구 국회의원이라 하겠나? 그러니 더 이상 무모하게 반대를 하지 말고 당론이라도 소신있게 거역하고 예산 심의에 임해야 할 것이다.
4대강 사업은 꼭 성공해야만 하는 국책사업이다. 지자체장들이 전적으로 환영하고 빨리 추진되기는 원하는 사업으로 의원들은 더 이상 반대하지 말고 성공할 수 있도록 전폭적으로 지지해 주는 자세로 전환해야 다음 총선에서 기약이 있을 것이다.
의원 단임하려면 4대강 살리기 사업 반대하고 4대강이 죽든 말든 반대만 붙잡고 늘어지면 될 것이다. 재선을 원하고 다선을 원한다면 지금 어느 편에 서야 하는지에 대한 선택이 의원 생명줄을 좌우할 것이다. 의원직 한번으로 족하다면 계속 4대강 살리기 사업 반대만 하고 있으면 될 것이다. [도형김민상 네티즌 논설가: http://allinkorea.net/] ",4대강,4대강
20100720,201007,2010,다음카페,('안티MBC' 카페) 물속의 엄청난 쓰레기… 4대강 사업이 치워드립니다!,"도랑치고 가재잡고..4대강 쓰레기 220만톤 대청소 처리비용만 670억원..전문업체 통해 처리
국토해양부 4대강살리기추진본부는 4대강 살리기 사업구간 내 대량으로 버려져 있는 건설폐기물, 영농폐기물, 일반 쓰레기 등을 모두 수거하여 처리할 계획이라고 밝혔다.
하천근처에 폐기된 생활쓰레기와 비닐 ⓒ뉴데일리
추진본부는 현재 4대강 사업구간 내에서 파악된 폐기물은 220만톤 이상인 것으로 추정하고, 이 폐기물을 처리하는데 드는 비용만 약 670억 원에 달할 것으로 예상하고 있다.
폐기물은 과거부터 해당지역 하천변에 있었던 쓰레기와 홍수 때 다른 지역에서 떠내려 온 쓰레기, 하천변 농경지에서 쓰고 난 비닐하우스 폐기물이나, 땅에 덮었던 폐비닐과 건물 철거물, 4대강 공사를 위해 하천변에 있는 콘크리트 구조물을 철거한 잔해 등이다.
이외에 주민들이 몰래 갖다버린 가구 등 가정쓰레기도 있다. 지난 봄 금강변 제방에 쓰레기가 발견됐다고 일부 언론에 보도된 것이 바로 무단 투기된 생활 폐기물이다.
국토해양부 이정기 사무관은 “4대강 쓰레기 대청소를 위하여 폐기물 관련 법령에 따라 폐기물처리용역을 발주하고, 사업구간 내 폐기물들을 전문업체를 통해 전량 처리할 예정”이라고 밝혔다.
이정기 사무관은 또 “장마철에 각종 쓰레기가 하천으로 유입될 경우 하천 뿐 아니라 해양 환경에까지 피해를 끼칠 수 있는 만큼 하천에 떠다닐 가능성이 있는 각종 쓰레기, 방치폐기물 등을 우선적으로 수거, 처리할 계획”이라며 “현재 79개 공구에서 폐기물처리용역이 이미 발주되었으며 나머지 공구에서도 순차적으로 발주가 이루어지고 있다.”고 밝혔다.",4대강,4대강
