일시,내용,비고
5/15/2009,"우리의 임무는 국시를 지키면서 정부 정책이 제대로 추진될 수 있도록 지원, 위축됐던 국정원 업무를 좀 더 공격적으로 수행
업무수행과정에서 보수·진보 분류를 형식적·도식적으로 할 필요가 없으며, 대한민국의 정체성 확립ㆍ국정 수행이 제대로 되도록 협조하는 측과 이유없이 이를 흔들려고 하는 측을 잘 판단해야 함",
5/15/2009,불법집회나 불법노조에 대해 등한시한 부분이 있는데 원에서 관심을 가지고 정상화해야 하며 특히 일부 언론의 편향된 정부비판·좌파옹호에 대해서는 적극적으로 대처해나가야 함.,
6/19/2009,"아직도 전교조 등 종북좌파 단체들이 시민단체, 종교단체 등의 허울 뒤에 숨어 활발히 움직이므로, 국가의 중심에 서서 일한다는 각오로 더욱 분발해주기 바람.",
1/22/2010,"세종시 등 국정 현안에 대해 ‘반대를 위한 반대’를 일삼는 좌파단체들이 많은데, 보다 정공법으로 대응할 필요가 있음.
현 정부의 각종 정책은 과거 정부의 잘못된 점을 바로잡아 정상화하는 과정인데, 지나치게 정치적으로 접근하고 있음. 
우리 원이 앞장서서 대통령님과 정부 정책의 진의를 적극 홍보하고 뒷받침해야 할 것임",
1/22/2010,지방 선거도 이제 있고 좌파들이 여기 자생적인 좌파도 아니고 북한 지령받고 움직이는 사람들 아니예요 그러니까 그런 사람들에 대한 확실한 싸움을 해서...,
2/19/2010,"지방공직자들의 비리가 심각한데, 국민들이 볼 때는 정부의 비리로 생각하므로 원이 토착비리 근절에 앞장서야 함.",
3/19/2010,"일부 종교단체가 종교 본연의 모습을 벗어나 정치활동에 치중하는 것에 대해 바로잡으려는 노력이 필요함.
4월 국회에서는 주요개혁입법들이 모두 처리될 수 있도록 노력할 것.",
4/16/2010,세종시·4대강 등 주요 현안에도 원이 확실하게 중심을 잡고 대처해주기 바람.,
4/16/2010,"사실상 북한에서 지령이 내려오는게, 요번에 지방선거에서는 2012년도에 정권을 바꿀 수 있도록 다 모아라, 단일화해라 ...
그래 모으라는 거는 희망과 대안 뭐 등 다 만들지만, 어쨌든 선거에는 단일화해라 하는게 북한의 지령이라고, 북한 지령대로 움직이는 건 결국은 뭐 종북단체 아니야 ...
싸우기는 5개 6개 당으로 해가지고 하면서 이쪽에는 입 하나밖에 못쓰게 하고, ... 일반 국민이 보면 다수가 반대를 하고 어떤 정책에 대해서 한나라당만 찬성하는 것처럼 이렇게 돼 있쟎아.
그거를 다 이용당하고 있는데 우리가 이용당하고 있는지 모르고 있어. 어쨌든 이게 그런 걸 확실하게 여러분들께서 중심을 잡고 좀 일을 해주시기를 바랍니다",(2010. 6. 2. 지방선거 직전)
6/25/2010,천안함 발표가 5월 20일이고 5월 24일날 대통령께서 천안함에 대해서 국민에 대한 담화를 하시고 몇일 뒤에 바로 전쟁과 평화 하면서 야당 후보가 뭐 그런 걸 이야기했는데 ... 국정원 직원들은 제대로 거기에 대한 저거 한 번 없이 넘어갔다는 거야,(2010. 6. 2. 지방선거 직후)
7/19/2010,심리전단이 보고한 <젊은층 우군화 심리전 강화방안>은 내용 자체가 바로 우리 원이 해야 할 일이라는 점을 명심할 것.,
7/19/2010,"정상외교 성과, 경제위기 극복 등에도 불구 국내 정세는 야당의 무조건적인 반대 등으로 그 어떤 때보다 힘든 상황, 대통령님의 외교가 국내 정세와 연결될 수 있도록 원이 더욱 역할을 다해야 함",
7/19/2010,좌파교육감들이 주장하는 무상급식 문제는 한정된 재원 하에 정작 지원해주고 개선되어야 할 여타분야를 간과하는 상황이 발생할 수밖에 없으므로 이런 포퓰리즘적 허구성을 국민들에게 적극 홍보해야 함,
1/21/2011,"4대강 사업 등 국책사업이 원활히 추진되기 위해 '책 잡히는 일'이 없어야 하므로, 지역민들에게는 최대한 성의 있는 모습을 보여야 함.",
